,game_date,game_status_text,points_home,points_away,home_team_wins,city_home,nickname_home,city_away,nickname_away
78,2013-03-16,Final,105,88,1,Charlotte,Hornets,Charlotte,Hornets
79,2013-03-15,Final,92,78,1,Charlotte,Hornets,Charlotte,Hornets
80,2013-03-09,Final,104,87,1,Charlotte,Hornets,Charlotte,Hornets
81,2013-03-04,Final,122,105,1,Charlotte,Hornets,Charlotte,Hornets
82,2013-03-03,Final,119,83,1,Charlotte,Hornets,Charlotte,Hornets
83,2013-03-01,Final,98,68,1,Charlotte,Hornets,Charlotte,Hornets
84,2013-02-26,Final,106,84,1,Charlotte,Hornets,Charlotte,Hornets
85,2013-02-19,Final,92,105,0,Charlotte,Hornets,Charlotte,Hornets
86,2013-02-13,Final,101,77,1,Charlotte,Hornets,Charlotte,Hornets
87,2013-02-09,Final,87,76,1,Charlotte,Hornets,Charlotte,Hornets
88,2013-02-06,Final,122,95,1,Charlotte,Hornets,Charlotte,Hornets
89,2013-02-04,Final,99,94,1,Charlotte,Hornets,Charlotte,Hornets
90,2013-02-02,Final,109,95,1,Charlotte,Hornets,Charlotte,Hornets
91,2013-01-30,Final,102,78,1,Charlotte,Hornets,Charlotte,Hornets
92,2013-01-28,Final,93,85,1,Charlotte,Hornets,Charlotte,Hornets
93,2013-01-18,Final,100,106,0,Charlotte,Hornets,Charlotte,Hornets
94,2013-01-14,Final,100,89,1,Charlotte,Hornets,Charlotte,Hornets
95,2013-01-12,Final,96,88,1,Charlotte,Hornets,Charlotte,Hornets
96,2013-01-11,Final,99,78,1,Charlotte,Hornets,Charlotte,Hornets
97,2013-01-06,Final,101,108,0,Charlotte,Hornets,Charlotte,Hornets
98,2012-12-31,Final,81,91,0,Charlotte,Hornets,Charlotte,Hornets
99,2012-12-28,Final,97,81,1,Charlotte,Hornets,Charlotte,Hornets
100,2012-12-22,Final,110,88,1,Charlotte,Hornets,Charlotte,Hornets
101,2012-12-21,Final,115,100,1,Charlotte,Hornets,Charlotte,Hornets
102,2012-12-19,Final,121,104,1,Charlotte,Hornets,Charlotte,Hornets
103,2012-12-18,Final,101,100,1,Charlotte,Hornets,Charlotte,Hornets
104,2012-12-13,Final,113,90,1,Charlotte,Hornets,Charlotte,Hornets
105,2012-12-07,Final,108,93,1,Charlotte,Hornets,Charlotte,Hornets
106,2012-11-28,Final,94,91,1,Charlotte,Hornets,Charlotte,Hornets
107,2012-11-26,Final,114,69,1,Charlotte,Hornets,Charlotte,Hornets
108,2012-11-24,Final,106,108,0,Charlotte,Hornets,Charlotte,Hornets
109,2012-11-14,Final,87,89,0,Charlotte,Hornets,Charlotte,Hornets
110,2012-11-09,Final,107,99,1,Charlotte,Hornets,Charlotte,Hornets
111,2012-11-03,Final,126,99,1,Charlotte,Hornets,Charlotte,Hornets
112,2012-10-26,Final,99,82,1,Charlotte,Hornets,Charlotte,Hornets
113,2012-10-20,Final,85,80,1,Charlotte,Hornets,Charlotte,Hornets
114,2012-10-16,Final,120,98,1,Charlotte,Hornets,Charlotte,Hornets
115,2012-10-09,Final,97,82,1,Charlotte,Hornets,Charlotte,Hornets
116,2012-04-25,Final,102,95,1,Charlotte,Hornets,Charlotte,Hornets
117,2012-04-23,Final,101,73,1,Charlotte,Hornets,Charlotte,Hornets
118,2012-04-13,Final,105,82,1,Charlotte,Hornets,Charlotte,Hornets
119,2012-04-10,Final,103,90,1,Charlotte,Hornets,Charlotte,Hornets
120,2012-04-06,Final,95,90,1,Charlotte,Hornets,Charlotte,Hornets
121,2012-04-04,Final,120,93,1,Charlotte,Hornets,Charlotte,Hornets
122,2012-04-03,Final,92,87,1,Charlotte,Hornets,Charlotte,Hornets
123,2012-03-31,Final,110,107,1,Charlotte,Hornets,Charlotte,Hornets
124,2012-03-24,Final,102,89,1,Charlotte,Hornets,Charlotte,Hornets
125,2012-03-15,Final,101,96,1,Charlotte,Hornets,Charlotte,Hornets
126,2012-03-14,Final,107,87,1,Charlotte,Hornets,Charlotte,Hornets
127,2012-03-12,Final,71,73,0,Charlotte,Hornets,Charlotte,Hornets
